"lat","long","id"
-1.50054585059325,-71.5260188782782,3519
-1.63852707823401,-72.4573921648533,3025
1.74201299896458,-75.8724275489621,21205
10.3313444196018,-73.5957372928896,75218
1.43155523677287,-72.8713358477756,18893
8.3306166188108,-77.2867351322799,69758
6.84731842167264,-73.9406903619915,63084
2.15595668188685,-74.7340824209258,25065
6.91630903549302,-72.4573921648533,63575
4.08769386885747,-75.7689416282315,41681
-2.56990036480913,-69.8012535327687,704
0.43119133637737,-72.8713358477756,11695
-2.08696606806647,-71.5605141851884,1636
2.05247076115628,-74.5271105794647,24080
-1.6730223851442,-73.2162889168775,2887
6.08842166964847,-68.4904318701815,58095
6.19190759037904,-74.0786715896322,58783
1.70751769205439,-72.9058311546858,21024
3.15632058228235,-68.1799741079898,34204
9.50345705375724,-74.8720636485666,73373
4.39815163104918,-74.9755495692972,44231
5.53649675908544,-71.7329907197393,53471
3.53576895829444,-74.9755495692972,37212
5.12255307616316,-73.8372044412609,50060
-0.638163177838508,-70.9740939677152,6834
2.53540505789894,-76.2518759249742,28654
1.46605054368306,-76.8382961424474,19042
6.91630903549302,-75.5619697867704,63485
0.707153791658887,-72.5953733924941,13484
6.53686065948093,-73.5267466790692,61101
1.50054585059325,-73.8027091343507,19395
-2.08696606806647,-69.5942816913076,1693
1.05210686076078,-74.1476622034526,16007
4.01870325503709,-70.939598660805,41258
10.9522599439852,-73.66472790671,76559
3.25980650301292,-72.1124390957514,34963
1.05210686076078,-70.9051033538948,16101
8.60657907409231,-75.1825214107583,70858
4.95007654161221,-69.4218051567566,48801
1.94898484042571,-71.6295047990088,23197
5.67447798672619,-69.1113473945649,54679
7.36474802532549,-77.6316882013818,65764
1.70751769205439,-72.8023452339552,21027
-0.776144405479267,-70.3186831364216,6301
7.77869170824776,-75.5619697867704,67616
-3.22531119610273,-70.2496925226012,431
9.15850398465535,-74.5271105794647,72591
1.15559278149135,-70.0082253742299,16893
6.91630903549302,-70.7326268193438,63625
2.50090975098875,-67.4210773559656,28586
11.9871191512909,-71.8364766404699,77683
6.22640289728923,-74.8375683416564,59018
